Date,Category,Description,Points,multiple,points
01/13/2019,Earned,Retention 1500 Spnd/10k MR Pts,"10,000",,
01/10/2019,Earned,BGR $5k Spend/50k MR points,"50,000",,
01/09/2019,Used,AMAZON SHOP WITH PTS,-1,,
12/30/2018,Earned,Business Gold Rewards Card-71001,435,,
12/19/2018,Earned,Platinum Card¨-61008,"4,567",,
11/20/2018,Earned,Targeted Spend & Get Offers,"1,000",,
11/18/2018,Earned,American Express Gold Card-31007,64,4X,64
11/17/2018,Earned,Targeted Spend & Get Offers,"1,000",,
11/09/2018,Adjusted,Points Adjustment,74,,
11/03/2018,Earned,Targeted Spend & Get Offers,"1,000",,
10/13/2018,Earned,Schwab Platinum Card-81007,"1,825",5X,1825
09/25/2018,Adjusted,Point Adjustment,"-25,000",,
09/21/2018,Earned,Green Card-51000,899,,
09/21/2018,Earned,Ameriprise Gold Card-11005,899,,
09/18/2018,Earned,Platinum Card¨-61008,"4,601",,
09/15/2018,Earned,Platinum Card¨-11003,50,,
09/12/2018,Earned,Schwab Platinum Card-81007,"2,373",,
08/22/2018,Earned,Green Card-51000,82,,
08/22/2018,Earned,Ameriprise Gold Card-11005,82,,
08/21/2018,Earned,Platinum Card¨-41003,100,,
08/20/2018,Earned,Platinum Card¨-61008,100,,
08/16/2018,Earned,Platinum Card¨-11003,50,,
08/12/2018,Earned,Schwab Platinum Card-81007,"1,362",,
07/31/2018,Earned,Amazon 3X Membership Rewards,200,,
07/26/2018,Earned,GREEN $1K spend/25K MR Pts,"25,000",,
07/26/2018,Earned,Amerprisegold $1K spd/25KMRPts,"25,000",,
07/26/2018,Earned,Platinum $5K spend/75K MR Pts,"75,000",,
07/26/2018,Earned,AMEX Plat for SCHWAB 60kMR/$5k,"60,000",,
07/18/2018,Earned,Platinum Card¨-61008,"1,090",5X,1090
07/12/2018,Earned,Schwab Platinum Card-81007,"5,385",5X,5385
07/05/2018,Used,PAY AT PARTNER,-1,,
05/24/2018,Used,PAY AT PARTNER,-1,,
05/21/2018,Earned,UNKNOWN-11008,"2,246",,
05/21/2018,Earned,20% Extra Points Apr 2018,449,,
05/20/2018,Earned,Platinum Card¨-41003,50,,
05/19/2018,Earned,"Amazon 2,000 MR Points Offer","2,000",,
05/18/2018,Earned,UNKNOWN-31049,"1,012",2X,186
05/18/2018,Earned,American Express Gold Card-31007,57,2X,57
05/15/2018,Earned,Platinum Card¨-11003,"5,800",5X,1000
04/21/2018,Earned,UNKNOWN-11008,4,2X,4
04/20/2018,Earned,Platinum Card¨-41003,"1,000",5X,1000
04/20/2018,Earned,Amex Express Checkout Offer,73,,
04/17/2018,Earned,UNKNOWN-31031,"1,012",2X,1012
04/17/2018,Earned,UNKNOWN-31023,506,,
04/17/2018,Earned,UNKNOWN-31015,506,,
04/17/2018,Earned,American Express Gold Card-31007,"2,572",3X,1833
04/17/2018,Earned,American Express Gold Card-31007,"2,572",2X,354
04/16/2018,Earned,Amex ED $2K Spend/25K MR Pts,"25,000",,
04/12/2018,Earned,PRG 5000 MR Pts/$500 SPND,"5,000",,
04/12/2018,Earned,MB Platinum $5k spd/60K MR pts,"60,000",,
04/04/2018,Earned,"Amazon 2,000 MR Points Offer","2,000",,
04/04/2018,Earned,"Amazon 2,000 MR Points Offer","2,000",,
04/04/2018,Earned,"Amazon 2,000 MR Points Offer","2,000",,
04/04/2018,Earned,"Amazon 2,000 MR Points Offer","2,000",,
03/18/2018,Earned,PRG 5000 MR Pts/$500 SPND,"5,000",,
03/18/2018,Earned,PRG $2K spend/50k MR pts,"50,000",,
03/18/2018,Earned,PRG 5000 MR Pts/$500 SPND,"5,000",,
03/18/2018,Earned,PRG 5000 MR Pts/$500 SPND,"5,000",,
03/18/2018,Earned,American Express Gold Card-31007,150,3X,150
